"BLCA" "BRCA_1" "BRCA_2" "COAD_READ" "HNSC" "KICH" "KIRC" "KIRP" "LIHC" "LUAD" "LUSC" "PRAD" "STES" "THCA" "UCEC"
"CDX2" 3 14 9 1 8 11 15 12 10 7 6 4 2 13 5
"CEBPA" 2 9 10 3 7 15 12 11 1 8 4 6 5 13 14
"CEBPB" 8 11 2 7 4 15 12 13 3 5 10 14 1 9 6
"CEBPD" 7 15 14 12 10 13 2 4 5 3 8 9 1 6 11
"CEBPG" 5 8 3 1 6 9 13 14 4 11 2 12 7 15 10
"CENPC" 9 2 6 13 14 3 7 12 15 8 5 4 10 1 11
"CENPT" 1 13 9 5 6 14 8 3 12 10 4 7 11 15 2
"CHAMP1" 12 3 4 2 10 15 11 13 14 7 8 5 1 6 9
"CHAT" 10 14 9 11 8 13 4 12 15 2 1 5 7 3 6
"CHD1" 11 1 6 4 10 14 3 9 15 5 8 13 2 7 12
"CHD2" 10 3 8 14 13 5 7 12 15 2 9 4 6 1 11
"CHD4" 5 2 3 10 8 12 13 11 15 7 6 14 9 1 4
"CHD5" 13 10 6 7 14 1 12 4 15 11 9 2 3 5 8
"CHD7" 5 6 3 1 9 13 14 10 15 7 8 12 2 11 4
"CHD8" 9 1 3 12 8 14 11 13 15 4 5 6 2 10 7
"CHRM2" 2 10 9 3 13 14 11 12 7 6 8 5 1 15 4
"CLOCK" 14 1 3 10 9 13 5 11 15 6 8 4 2 7 12
"CNOT3" 2 7 6 8 9 12 14 13 15 10 3 4 5 11 1
"COPS2" 9 3 6 12 4 8 2 14 15 13 1 7 10 5 11
"CPSF3L" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"CREB1" 11 1 2 10 9 14 3 13 15 6 5 7 4 8 12
"CREB3" 11 3 5 10 14 9 7 8 15 6 12 1 13 2 4
"CREB3L4" 6 2 4 7 14 15 9 10 12 5 8 1 13 11 3
"CREBBP" 14 2 6 11 12 8 7 13 15 4 3 9 1 5 10
"CREM" 13 7 2 15 14 11 1 9 4 3 5 8 12 10 6
"CRY1" 12 1 3 10 14 13 9 7 15 6 8 4 5 2 11
"CSDE1" 6 3 1 11 9 15 5 13 14 8 7 2 12 4 10
"CSNK2A1" 8 6 5 4 9 3 11 7 15 13 1 10 2 14 12
"CTBP1" 4 10 13 6 14 8 12 3 15 7 11 2 9 5 1
"CTBP2" 14 3 7 2 12 13 8 10 15 9 11 6 5 4 1
"CTCF" 6 1 3 2 12 14 8 13 15 9 5 7 4 11 10
"CTCFL" 10 14 6 9 4 15 7 11 5 8 1 13 3 12 2
"CTNNB1" 11 5 4 1 12 15 9 13 14 3 6 7 8 2 10
"CUX1" 13 12 14 4 8 2 9 1 15 10 5 6 3 7 11
"DACOR1" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"DAXX" 4 2 1 6 5 15 12 14 13 8 7 10 11 9 3
"DCP1A" 8 3 6 2 14 13 10 7 15 4 11 5 1 9 12
"DDX20" 7 2 1 4 9 15 8 13 14 10 5 11 6 12 3
"DDX21" 8 6 5 1 3 15 9 13 14 7 4 10 2 12 11
"DDX5" 4 1 6 11 12 14 9 8 15 3 5 7 13 2 10
"DEAF1" 10 7 9 11 14 2 6 5 15 8 13 1 12 3 4
"DEK" 8 9 1 3 5 15 11 14 13 7 2 12 4 6 10
"DIDO1" 10 2 4 3 14 5 9 7 15 8 12 6 1 11 13
"DLX1" 9 5 7 11 2 14 4 13 12 15 3 1 10 6 8
"DLX2" 10 3 5 9 2 13 7 15 12 14 4 1 6 11 8
"DMC1" 10 4 2 8 5 15 6 12 14 7 1 13 3 11 9
"DNMT1" 9 7 1 4 6 14 11 13 15 8 2 12 5 10 3
"DNMT3A" 5 6 2 7 13 15 11 10 14 4 3 8 9 12 1
"DNMT3B" 1 8 3 9 4 15 11 6 13 10 5 14 7 12 2
"DPF1" 6 7 5 9 1 13 12 11 15 10 2 8 4 14 3
"DPF2" 9 5 4 10 12 14 11 13 15 6 2 8 7 3 1
"DPPA2" 6 13 7 10 4 15 8 2 11 9 1 12 5 14 3
"DRAP1" 3 10 6 9 2 13 14 12 8 11 5 7 15 1 4
"DROSHA" 5 3 2 8 10 11 12 14 15 4 1 9 7 13 6
"DUX4" 5 4 12 15 13 11 6 1 10 7 9 8 3 14 2
"E2F1" 3 9 2 1 8 11 14 13 10 7 4 15 6 12 5
"E2F2" 7 8 1 2 5 15 11 14 10 9 4 13 3 12 6
"E2F3" 2 9 1 5 10 13 11 12 15 6 3 14 8 7 4
"E2F4" 3 14 10 1 4 7 11 9 15 6 2 13 5 12 8
"E2F5" 10 6 1 2 15 13 12 9 14 3 11 7 5 8 4
"E2F6" 5 4 2 6 12 15 13 10 14 3 1 11 9 8 7
"E2F7" 6 8 7 4 2 15 10 13 11 9 1 12 3 14 5
"E2F8" 2 9 4 3 6 10 12 13 11 8 5 15 1 14 7
"EBF1" 12 3 5 14 10 6 1 15 13 9 11 7 2 4 8
"EBF3" 9 3 4 12 6 8 2 14 11 15 10 5 7 1 13
"EBNA2" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"EBNA3" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"EBNA3C" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"EED" 2 8 1 4 9 11 13 14 15 6 3 10 7 12 5
"EGLN2" 3 1 10 12 13 4 14 11 8 2 7 9 15 5 6
"EGR1" 13 8 12 9 4 14 2 11 15 6 5 3 7 1 10
"EGR2" 12 5 4 11 8 14 7 13 15 6 2 3 9 1 10
"EGR3" 12 1 8 11 5 14 7 13 15 9 6 2 3 4 10
"EHF" 4 10 6 1 7 12 15 14 13 8 5 2 3 11 9
"EHMT2" 3 5 2 4 12 15 13 11 14 9 8 7 6 10 1
"ELF1" 8 3 10 2 9 14 6 11 15 5 7 12 1 4 13
"ELF2" 8 1 3 12 13 9 5 14 15 6 10 2 4 7 11
"ELF3" 1 9 8 2 12 14 15 5 11 4 7 10 3 13 6
"ELK1" 7 5 1 2 12 10 13 14 15 11 3 9 6 8 4
"ELK3" 9 6 8 10 3 14 2 11 15 4 7 13 5 1 12
"ELK4" 7 6 5 14 9 15 4 10 11 8 2 1 3 12 13
"ELL2" 11 7 8 12 2 14 6 13 3 4 5 1 9 10 15
"EMSY" 10 1 3 11 13 8 9 14 15 6 5 4 2 12 7
"EMX1" 8 5 12 10 9 2 3 1 7 11 6 14 4 15 13
"EOMES" 14 6 3 13 7 15 1 8 12 4 5 11 2 10 9
"EP300" 13 3 7 12 10 5 6 14 15 8 2 9 1 4 11
"EP400" 9 2 8 5 10 14 13 11 15 4 3 12 1 7 6
"EPAS1" 4 11 13 12 6 7 1 14 9 2 8 10 5 3 15
"EPC1" 9 2 1 10 14 15 4 12 13 6 11 5 8 3 7
"ERCC2" 3 9 10 5 15 14 13 2 8 7 6 4 11 12 1
"ERCC3" 5 6 3 8 11 14 12 9 15 2 1 7 13 10 4
"ERCC6" 6 3 2 12 4 14 11 13 15 8 5 7 9 1 10
"ERF" 10 12 9 4 5 7 6 13 8 14 3 15 2 11 1
"ERG" 13 4 10 14 6 9 1 15 12 3 8 2 7 5 11
"ESCO2" 8 7 4 2 5 15 11 13 10 9 3 12 1 14 6
"ESR1" 10 1 6 15 11 14 7 8 9 5 12 4 13 3 2
"ESRRA" 4 15 13 2 6 1 8 3 5 9 7 11 10 14 12
"ETS1" 8 6 2 10 7 11 1 12 15 5 9 13 4 3 14
"ETS2" 4 15 13 1 2 14 6 12 8 7 5 11 3 10 9
"ETV1" 13 4 8 11 14 15 7 9 12 2 3 6 5 1 10
"ETV4" 5 11 9 1 8 12 15 13 10 3 6 14 4 2 7
"ETV5" 14 9 6 12 10 11 7 8 13 3 2 15 5 1 4
"ETV6" 3 4 1 8 11 14 12 9 15 5 6 13 2 10 7
"ETV7" 3 11 6 2 4 15 7 12 14 5 8 13 1 9 10
"EWSR1" 1 9 6 4 7 15 13 12 14 10 2 5 8 11 3
"EZH1" 8 4 13 12 15 6 3 1 14 7 9 5 11 2 10
"EZH2" 5 8 1 2 7 15 11 12 10 9 3 13 6 14 4
"FAIRE" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"FAM208A" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"FANCD2" 2 7 1 3 8 15 14 12 13 9 4 10 6 11 5
"FEV" 10 11 8 3 15 12 6 9 13 5 7 1 2 14 4
"FEZF1" 5 12 10 4 6 11 13 14 9 2 1 8 3 15 7
"FGFR1" 14 2 6 12 13 3 4 5 15 9 8 7 11 10 1
"FLI1" 14 4 3 15 9 8 1 11 12 2 7 10 6 5 13
"FOS" 5 9 12 8 3 14 4 13 15 6 10 2 7 1 11
"FOSL1" 4 13 9 5 1 14 10 11 15 7 2 12 3 8 6
"FOSL2" 3 9 10 11 2 8 5 4 15 7 1 14 6 13 12
"FOXA1" 3 2 9 8 11 15 13 14 6 4 7 1 5 12 10
"FOXA2" 11 14 13 1 9 15 10 12 2 5 6 8 3 7 4
"FOXD2" 7 4 11 1 10 15 3 12 6 5 9 8 2 13 14
"FOXG1" 6 13 2 5 3 15 10 11 14 8 4 12 9 7 1
"FOXH1" 1 6 7 3 10 15 12 11 13 8 4 9 2 14 5
"FOXJ2" 12 3 2 10 6 11 4 13 15 7 1 8 5 9 14
"FOXK1" 12 10 7 4 5 3 8 6 15 9 2 11 1 13 14
"FOXK2" 5 8 2 9 4 13 14 11 15 6 1 12 7 10 3
"FOXM1" 7 8 2 4 5 12 11 14 10 9 1 13 3 15 6
"FOXO1" 11 8 13 10 7 1 6 15 14 9 4 12 3 2 5
"FOXO3" 14 2 4 8 11 13 5 10 15 12 7 1 3 6 9
"FOXP1" 8 2 9 7 11 4 13 15 10 5 14 1 3 6 12
"FOXP2" 11 13 12 10 7 5 2 1 14 4 3 8 6 9 15
"FOXP3" 10 6 1 8 3 15 12 14 11 4 5 13 2 9 7
"FUS" 9 2 3 4 11 14 8 10 15 7 6 12 13 5 1
"FXR1" 8 3 2 14 4 13 9 11 15 10 1 7 12 5 6
"FXR2" 8 6 5 14 4 11 12 1 15 9 7 2 13 3 10
"GABP" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"GABPA" 6 2 4 10 11 13 1 15 14 7 9 8 5 3 12
"GATA1" 9 4 13 8 12 15 6 2 14 1 3 7 5 10 11
"GATA2" 3 5 13 10 11 2 6 14 15 7 8 1 9 12 4
"GATA3" 2 1 3 13 10 4 8 14 15 11 9 6 7 5 12
"GATA4" 10 5 11 4 7 15 13 12 2 9 3 8 1 14 6
"GATA6" 12 9 6 2 13 15 10 11 4 5 8 7 1 3 14
"GATAD1" 9 7 13 8 15 1 4 2 14 6 11 5 10 3 12
"GATAD2B" 8 2 1 12 10 15 9 13 14 6 5 11 3 7 4
"GFI1B" 11 7 8 2 13 5 6 9 14 4 3 10 1 15 12
"GLI2" 11 6 8 7 3 15 5 13 14 4 1 9 2 12 10
"GLI4" 1 12 7 11 13 5 14 2 8 10 4 6 9 15 3
"GLIS1" 10 7 9 12 4 14 1 2 15 13 8 3 5 11 6
"GLIS2" 13 6 7 14 11 2 3 1 15 5 10 12 8 4 9
"GLYR1" 13 2 10 7 14 1 11 4 15 5 12 3 8 6 9
"GMEB1" 3 4 2 11 5 14 12 13 15 8 10 9 6 7 1
"GMEB2" 7 10 6 1 9 11 14 13 15 12 4 5 8 3 2
"GPS2" 3 12 11 9 14 15 4 2 13 6 7 10 1 8 5
"GREB1" 12 2 4 14 13 15 11 7 5 6 9 1 8 10 3
"GRHL1" 1 5 2 13 3 12 15 11 14 7 4 6 8 10 9
"GRHL2" 3 2 5 7 8 12 13 14 15 9 4 1 10 11 6
"GRHL3" 1 9 5 6 2 13 15 12 14 10 3 11 7 4 8
"GRIP1" 10 3 4 14 6 1 12 5 15 11 7 8 13 9 2
"GTF2A2" 4 9 5 7 11 10 14 13 15 8 1 3 2 12 6
"GTF2B" 1 5 3 6 10 15 12 14 13 4 9 8 7 2 11
"GTF2E2" 6 10 7 3 5 14 13 11 15 8 1 12 9 4 2
"GTF2F1" 7 8 12 4 11 9 6 5 15 13 10 3 14 2 1
"GTF2I" 12 2 4 11 13 8 7 9 15 6 5 10 1 3 14
"GTF3C2" 3 8 2 7 10 14 13 11 15 5 1 12 6 9 4
"GTF3C5" 2 9 5 3 6 10 15 8 14 12 4 7 11 13 1
"H2AFX" 3 9 7 2 6 12 15 14 13 8 5 10 4 11 1
"H2AZ" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"H3F3B" 1 4 5 11 2 15 12 10 14 8 3 9 13 6 7
"HAND2" 5 4 3 6 9 14 13 15 7 12 11 10 2 8 1
"HBP1" 13 1 6 10 11 8 2 9 15 4 7 5 12 3 14
"HCFC1" 9 7 5 2 10 11 14 12 15 6 3 8 1 13 4
"HCFC1R1" 6 5 9 15 11 12 2 1 14 7 10 8 13 3 4
"HDAC1" 3 11 10 1 5 15 12 14 13 9 2 4 8 6 7
"HDAC2" 5 6 1 4 8 14 12 13 15 10 2 9 7 11 3
"HDAC3" 8 5 9 3 2 15 6 12 13 7 1 4 14 11 10
"HDAC4" 14 9 7 3 6 13 10 11 15 8 2 4 1 12 5
"HDAC6" 9 8 10 11 15 6 1 2 3 5 13 12 14 7 4
"HDAC8" 4 6 5 8 15 9 14 10 12 7 11 3 13 2 1
"HDGF" 7 9 1 3 5 15 11 12 10 6 2 14 8 13 4
"HES1" 1 7 9 5 10 15 11 12 14 13 6 3 2 4 8
"HES2" 5 9 8 3 1 15 12 13 14 10 2 6 7 11 4
"HEXIM1" 1 2 11 12 10 15 7 6 14 8 9 4 13 5 3
"HEY1" 7 6 8 13 10 2 3 15 12 4 1 14 11 9 5
"HHEX" 9 6 8 11 12 15 4 14 2 5 7 10 3 1 13
"HIC1" 10 3 8 5 11 13 2 15 14 4 9 6 1 12 7
"HIF1A" 11 13 9 14 1 7 10 6 15 5 2 12 4 3 8
"HINFP" 6 11 9 2 14 13 10 5 15 3 8 4 12 7 1
"HIRA" 11 14 5 2 7 6 15 9 12 13 4 10 8 1 3
"HJURP" 5 9 2 3 7 15 12 13 10 8 1 11 6 14 4
"HLF" 15 9 10 14 12 6 3 2 1 5 7 4 11 8 13
"HLTF" 5 1 2 15 14 8 10 12 13 6 3 4 11 7 9
"HMBOX1" 12 3 7 13 14 6 2 5 15 10 11 8 1 9 4
"HMG20A" 12 3 5 6 11 1 2 10 15 8 4 14 7 9 13
"HMGN1" 3 2 1 7 12 15 13 11 14 6 8 10 9 4 5
"HMGN3" 8 10 6 15 12 14 1 2 13 5 7 9 11 4 3
"HNF1A" 13 10 14 1 12 7 4 3 5 8 11 9 2 15 6
"HNF1B" 9 15 14 4 13 3 2 1 8 5 11 10 6 12 7
"HNF4A" 9 13 14 1 11 8 4 5 2 6 10 12 3 15 7
"HNF4G" 12 11 10 1 14 13 3 4 5 6 9 8 2 15 7
"HOTAIR" 7 2 1 11 9 12 5 3 15 10 6 13 4 14 8
"HOXA1" 1 12 7 6 3 11 8 4 15 9 2 10 5 14 13
"HOXA2" 4 13 11 2 12 10 5 1 15 8 6 9 3 14 7
"HOXA4" 3 13 9 8 11 6 1 2 15 10 5 7 4 14 12
"HOXA6" 5 12 11 3 13 1 4 2 14 10 8 6 7 15 9
"HOXA9" 7 10 9 2 12 4 5 1 14 13 11 3 8 15 6
"HOXB13" 5 8 6 2 11 14 12 10 13 9 7 1 3 15 4
"HOXC9" 9 2 4 13 8 5 3 1 14 10 7 12 6 15 11
"HSF1" 5 13 6 3 4 1 15 12 14 9 7 10 8 11 2
"ICE1" 10 3 2 8 6 7 9 13 15 4 1 12 5 11 14
"ICE2" 13 1 8 10 14 4 7 11 15 9 3 2 5 6 12
"ID3" 5 14 13 3 7 4 1 8 15 11 9 10 12 2 6
"IKZF1" 13 5 3 11 9 15 1 7 14 2 6 8 4 10 12
"IKZF2" 2 6 7 13 10 14 11 12 15 3 5 4 9 1 8
"ILK" 13 7 11 6 9 8 1 3 14 5 12 2 10 4 15
"ING2" 10 1 8 14 4 5 11 12 15 6 7 9 13 2 3
"ING5" 9 6 8 3 15 12 13 11 14 5 7 1 10 2 4
"INO80" 12 2 11 3 10 5 7 13 15 8 4 9 1 6 14
"INSM2" 7 6 9 14 8 13 11 15 12 1 4 2 3 5 10
"INTS11" 2 10 11 4 7 14 13 8 15 6 9 3 12 5 1
"INTS12" 12 1 4 7 10 8 11 14 15 5 9 3 6 2 13
"INTS3" 9 1 3 11 14 15 4 6 13 5 7 10 8 12 2
"IRAK1" 8 11 2 1 3 13 14 9 12 5 4 6 7 15 10
"IRAK4" 8 3 11 5 13 1 6 9 15 7 2 14 10 4 12
"IRF1" 9 10 6 1 4 15 3 14 11 5 7 13 2 12 8
"IRF3" 1 14 10 4 7 15 13 8 9 5 6 11 12 3 2
"IRF4" 11 9 2 7 6 15 8 12 14 1 3 13 4 5 10
"IRF5" 2 9 7 12 8 14 4 1 11 5 3 15 10 6 13
"IRF9" 3 5 9 10 13 15 7 12 14 2 4 11 1 8 6
"JARID2" 5 4 3 8 1 15 11 13 14 9 2 10 7 12 6
"JMJD1C" 14 4 3 9 10 12 2 8 15 5 11 7 1 6 13
"JMJD6" 3 12 2 1 7 15 9 5 13 6 4 8 11 14 10
"JUN" 12 10 13 4 5 14 2 9 15 7 11 1 8 3 6
"JUNB" 2 11 12 6 1 14 8 13 15 9 7 4 5 3 10
"JUND" 8 10 13 6 15 5 12 7 9 11 14 4 1 3 2
"KAT5" 10 6 13 5 12 2 4 14 15 8 7 3 11 1 9
"KAT7" 10 1 3 11 13 14 7 9 15 5 4 8 6 2 12
"KAT8" 11 5 10 6 14 4 9 1 15 7 13 8 12 2 3
"KDM1A" 1 8 3 4 5 14 13 12 15 9 7 6 10 11 2
"KDM1B" 12 7 2 1 6 15 10 9 14 8 4 13 3 5 11
"KDM2B" 4 8 1 7 9 6 11 12 15 10 3 14 5 13 2
"KDM3A" 9 4 3 7 11 14 2 10 15 6 1 13 12 8 5
"KDM3B" 13 1 9 5 14 11 4 8 15 7 12 6 3 2 10
"KDM4A" 5 3 1 10 9 14 12 13 15 8 2 7 11 6 4
"KDM4B" 7 1 9 11 14 4 5 10 15 12 8 2 13 6 3
"KDM4C" 7 6 4 2 14 13 3 12 15 11 9 5 8 1 10
"KDM5A" 8 3 1 11 5 13 7 14 15 6 2 9 4 10 12
"KDM5B" 6 1 2 11 3 14 12 13 15 7 4 8 9 10 5
"KDM5C" 7 4 2 3 10 12 13 14 15 6 5 11 9 8 1
"KDM6A" 8 1 3 9 12 13 11 14 15 4 5 7 2 6 10
"KDM6B" 4 11 14 10 6 12 5 3 15 7 8 9 1 13 2
"KLF1" 9 5 1 3 11 15 10 12 13 7 4 8 6 14 2
"KLF10" 13 4 7 8 2 11 1 9 14 6 5 15 3 10 12
"KLF11" 14 9 3 12 11 5 1 2 7 6 4 13 10 8 15
"KLF12" 15 5 3 14 13 6 1 2 4 11 9 12 8 7 10
"KLF13" 15 11 10 7 2 1 5 6 13 9 8 14 3 4 12
"KLF15" 8 13 12 14 15 4 5 3 1 6 10 2 11 9 7
"KLF16" 5 11 7 2 3 15 13 8 12 10 6 9 1 14 4
"KLF17" 5 2 3 9 10 15 11 12 13 4 6 8 1 14 7
"KLF3" 3 9 12 2 4 15 10 14 13 7 5 6 1 8 11
"KLF4" 9 10 12 4 1 14 7 8 15 11 3 5 2 6 13
"KLF5" 2 12 9 1 4 13 14 11 15 6 5 10 3 7 8
"KLF6" 9 8 6 7 5 11 1 2 13 10 12 14 4 3 15
"KLF7" 12 7 8 11 2 3 1 9 15 4 5 13 6 10 14
"KLF8" 6 7 5 14 8 11 1 2 15 9 4 13 10 3 12
"KLF9" 15 9 10 13 12 3 1 5 4 8 11 2 7 6 14
"KMT2A" 13 4 6 12 14 9 3 10 15 7 8 5 1 2 11
"KMT2B" 2 8 4 5 10 11 14 13 15 7 3 9 1 12 6
"KMT2D" 12 3 10 6 13 2 7 14 15 4 5 9 1 8 11
"KRAB" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"L3MBTL2" 7 5 3 11 14 13 8 6 15 9 4 2 10 12 1
"L3MBTL4" 15 11 3 10 13 1 2 7 4 5 6 14 12 9 8
"LANA" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
"LARP7" 4 1 6 11 14 5 9 13 15 7 10 3 8 2 12
"LDB1" 5 4 8 14 6 9 10 13 15 7 2 11 12 1 3
"LEF1" 13 2 5 7 12 9 11 15 14 10 3 8 4 6 1
"LEO1" 5 1 7 9 2 14 13 15 8 12 6 3 4 10 11
"LHX2" 9 7 3 10 2 15 11 14 5 8 1 12 6 13 4
"LIN9" 8 4 1 5 9 15 10 14 13 6 2 11 3 12 7
"LMNA" 3 9 4 7 1 15 13 11 10 6 5 14 8 2 12
"LMNB1" 5 7 2 1 8 15 11 14 10 9 4 12 6 13 3
"LMO1" 13 9 2 15 3 11 5 10 14 7 1 12 6 8 4
"LMO2" 6 5 7 15 14 8 1 3 13 9 12 11 10 4 2
"LMTK3" 11 3 13 10 6 4 14 2 15 7 12 9 8 1 5
"LRWD1" 2 11 7 3 8 15 14 4 12 6 5 13 9 10 1
